Season,T1_ID,T2_ID,WScore,LScore,Target,SeasonAvgScore_T1,SeasonWinRatio_T1,TeamName_T1,SeedNumber_T1,SeasonAvgScore_T2,SeasonWinRatio_T2,TeamName_T2,SeedNumber_T2,Gender
1996,1246,1393,76,67,1,85.21428571428572,0.9333333333333333,Kentucky,1.0,73.60416666666666,0.75,Syracuse,4.0,Men
1988,1328,1437,78,59,1,92.01666666666667,0.9090909090909091,Oklahoma,1.0,70.85714285714286,0.6363636363636364,Villanova,6.0,Men
1997,1246,1278,78,69,1,77.98706896551724,0.8787878787878788,Kentucky,1.0,75.88461538461539,0.896551724137931,Minnesota,1.0,Men
1988,1242,1462,85,72,1,73.1010101010101,0.6206896551724138,Kansas,6.0,86.0,0.8888888888888888,Xavier,11.0,Men
2023,1361,1104,71,64,1,69.41666666666666,0.8125,San Diego St,5.0,76.80689655172414,0.8529411764705882,Alabama,1.0,Men
2008,1277,1338,65,54,1,66.1425,0.7575757575757576,Michigan St,5.0,69.99145299145299,0.7428571428571429,Pittsburgh,4.0,Men
1994,1104,1344,76,70,1,70.82163742690058,0.6785714285714286,Alabama,9.0,78.04444444444445,0.6896551724137931,Providence,8.0,Men
2009,1163,1151,103,47,1,77.18518518518519,0.8709677419354839,Connecticut,1.0,75.0,0.5,Chattanooga,16.0,Men
2014,1277,1174,93,78,1,70.9423076923077,0.7647058823529411,Michigan St,4.0,77.12,0.7352941176470589,Delaware,13.0,Men
1991,1185,1336,71,68,1,75.49242424242425,0.7857142857142857,E Michigan,12.0,72.75,0.6666666666666666,Penn St,13.0,Men
1995,1314,1207,74,64,1,80.94166666666666,0.8275862068965517,North Carolina,2.0,74.89766081871346,0.6785714285714286,Georgetown,6.0,Men
2016,1401,1453,92,65,1,73.0,0.7647058823529411,Texas A&M,3.0,82.82738095238096,0.6363636363636364,WI Green Bay,14.0,Men
1997,1153,1139,86,69,1,76.71142857142857,0.78125,Cincinnati,3.0,67.46031746031747,0.7,Butler,14.0,Men
2001,1246,1234,92,79,1,76.85353535353535,0.7096774193548387,Kentucky,2.0,72.52272727272728,0.6666666666666666,Iowa,7.0,Men
2002,1268,1231,64,52,1,79.14423076923077,0.8666666666666667,Maryland,1.0,67.19856459330144,0.6333333333333333,Indiana,5.0,Men
2004,1448,1433,79,78,1,81.2953216374269,0.6785714285714286,Wake Forest,4.0,66.14906832298136,0.7666666666666667,VCU,13.0,Men
2017,1276,1257,73,69,1,73.17992424242425,0.6857142857142857,Michigan,7.0,73.77083333333334,0.75,Louisville,2.0,Men
2021,1276,1411,82,66,1,69.85,0.8333333333333334,Michigan,1.0,72.00416666666666,0.6521739130434783,TX Southern,16.0,Men
2022,1458,1159,67,60,1,68.6875,0.7741935483870968,Wisconsin,3.0,74.13636363636363,0.6666666666666666,Colgate,14.0,Men
2004,1163,1177,72,55,1,74.12962962962962,0.8181818181818182,Connecticut,2.0,69.73015873015873,0.7,DePaul,7.0,Men
1990,1210,1190,99,83,1,86.16666666666667,0.8,Georgia Tech,4.0,83.82608695652175,0.7931034482758621,ETSU,13.0,Men
2000,1153,1423,64,47,1,71.9047619047619,0.9032258064516129,Cincinnati,2.0,59.29166666666667,0.6,UNC Wilmington,15.0,Men
1998,1348,1434,74,68,1,75.0625,0.7333333333333333,Rhode Island,8.0,68.98611111111111,0.6923076923076923,Valparaiso,13.0,Men
1991,1112,1140,76,61,1,79.68589743589743,0.8125,Arizona,2.0,72.51666666666667,0.625,BYU,10.0,Men
2010,1345,1373,72,64,1,65.10740740740741,0.84375,Purdue,4.0,71.38888888888889,0.8181818181818182,Siena,13.0,Men
1985,1228,1208,74,58,1,63.546195652173914,0.7419354838709677,Illinois,3.0,75.17763157894737,0.7037037037037037,Georgia,6.0,Men
1992,1418,1328,87,83,1,78.82499999999999,0.6666666666666666,Louisiana,13.0,88.5,0.6923076923076923,Oklahoma,4.0,Men
2022,1116,1436,75,71,1,75.2175,0.7575757575757576,Arkansas,4.0,68.82222222222222,0.84375,Vermont,13.0,Men
2023,1397,1181,65,52,1,69.98260869565217,0.696969696969697,Tennessee,4.0,69.49038461538461,0.7647058823529411,Duke,5.0,Men
2005,1356,1388,65,56,1,65.06857142857143,0.78125,S Illinois,7.0,67.65489130434783,0.7419354838709677,St Mary's CA,10.0,Men
1994,1231,1396,67,58,1,79.48026315789474,0.7037037037037037,Indiana,5.0,60.73376623376623,0.7586206896551724,Temple,4.0,Men
1991,1301,1379,114,85,1,87.20263157894738,0.6551724137931034,NC State,6.0,80.6392857142857,0.7407407407407407,Southern Miss,11.0,Men
2010,1449,1307,82,64,1,76.55555555555556,0.7272727272727273,Washington,11.0,71.72844827586206,0.8787878787878788,New Mexico,3.0,Men
2017,1139,1457,76,64,1,73.50543478260869,0.7419354838709677,Butler,4.0,79.1875,0.8,Winthrop,13.0,Men
2000,1409,1274,80,71,1,75.9655172413793,0.8787878787878788,Tulsa,7.0,66.78095238095239,0.6774193548387096,Miami FL,6.0,Men
2011,1199,1401,57,50,1,66.2,0.6774193548387096,Florida St,10.0,64.82608695652175,0.7419354838709677,Texas A&M,7.0,Men
2006,1206,1277,75,65,1,66.22981366459628,0.7666666666666667,George Mason,11.0,71.74458874458875,0.65625,Michigan St,6.0,Men
2007,1425,1116,77,60,1,69.28853754940711,0.6764705882352942,USC,5.0,70.26923076923077,0.6176470588235294,Arkansas,12.0,Men
1992,1199,1285,78,68,1,80.80409356725147,0.6785714285714286,Florida St,3.0,71.34,0.8928571428571429,Montana,14.0,Men
2012,1433,1455,62,59,1,64.43452380952381,0.8235294117647058,VCU,12.0,73.71153846153845,0.8387096774193549,Wichita St,5.0,Men
2009,1163,1401,92,66,1,77.18518518518519,0.8709677419354839,Connecticut,1.0,69.26811594202898,0.71875,Texas A&M,9.0,Men
2025,1120,1166,82,70,1,81.2,0.8484848484848485,Auburn,1.0,72.48333333333333,0.7058823529411765,Creighton,9.0,Men
2001,1277,1106,69,35,1,70.95833333333334,0.8571428571428571,Michigan St,1.0,68.61785714285715,0.7407407407407407,Alabama St,16.0,Men
2005,1328,1310,84,67,1,74.00595238095238,0.7741935483870968,Oklahoma,3.0,84.54444444444445,0.6896551724137931,Niagara,14.0,Men
1993,1314,1242,78,68,1,79.58928571428572,0.875,North Carolina,1.0,76.06818181818181,0.7857142857142857,Kansas,2.0,Men
2023,1361,1158,63,57,1,69.41666666666666,0.8125,San Diego St,5.0,79.58333333333334,0.9090909090909091,Col Charleston,12.0,Men
2022,1112,1395,85,80,1,75.7258064516129,0.9117647058823529,Arizona,1.0,66.825,0.625,TCU,9.0,Men
1998,1387,1269,51,46,1,66.92380952380952,0.6774193548387096,St Louis,10.0,69.72857142857143,0.6774193548387096,Massachusetts,7.0,Men
2022,1323,1104,78,64,1,70.14523809523808,0.6774193548387096,Notre Dame,11.0,79.24493927125506,0.59375,Alabama,6.0,Men
1994,1130,1231,77,68,1,76.25526315789475,0.6551724137931034,Boston College,9.0,79.48026315789474,0.7037037037037037,Indiana,5.0,Men
2017,1211,1376,77,73,1,78.0,0.9696969696969697,Gonzaga,1.0,70.04761904761905,0.6774193548387096,South Carolina,7.0,Men
1995,1269,1389,68,51,1,78.39423076923077,0.8666666666666667,Massachusetts,2.0,67.47368421052632,0.6551724137931034,St Peter's,15.0,Men
2003,1120,1448,68,62,1,67.99282296650718,0.6333333333333333,Auburn,10.0,74.37083333333334,0.8275862068965517,Wake Forest,2.0,Men
2024,1463,1120,78,76,1,71.93333333333334,0.6896551724137931,Yale,13.0,78.23015873015873,0.7941176470588235,Auburn,4.0,Men
2017,1211,1321,79,73,1,78.0,0.9696969696969697,Gonzaga,1.0,68.21936758893281,0.6764705882352942,Northwestern,8.0,Men
1988,1181,1374,94,79,1,82.66666666666666,0.8,Duke,2.0,77.21296296296296,0.8181818181818182,SMU,7.0,Men
1994,1396,1180,61,39,1,60.73376623376623,0.7586206896551724,Temple,4.0,72.625,0.8571428571428571,Drexel,13.0,Men
2024,1235,1450,67,56,1,71.75396825396825,0.7941176470588235,Iowa St,2.0,71.56944444444444,0.7272727272727273,Washington St,7.0,Men
1997,1428,1390,82,77,1,69.61333333333333,0.8928571428571429,Utah,2.0,77.61111111111111,0.72,Stanford,6.0,Men
2017,1235,1305,84,73,1,77.57826086956521,0.696969696969697,Iowa St,5.0,74.80952380952381,0.8235294117647058,Nevada,12.0,Men
2017,1153,1243,75,61,1,67.82068965517242,0.8529411764705882,Cincinnati,6.0,70.98076923076923,0.6060606060606061,Kansas St,11.0,Men
2000,1196,1228,93,76,1,80.37202380952381,0.7741935483870968,Florida,5.0,73.39682539682539,0.7,Illinois,4.0,Men
1995,1113,1264,64,54,1,77.38068181818181,0.7333333333333333,Arizona St,5.0,72.6,0.8620689655172413,Manhattan,13.0,Men
2015,1112,1462,68,60,1,72.17741935483872,0.9117647058823529,Arizona,2.0,72.95421245421245,0.6176470588235294,Xavier,6.0,Men
2013,1161,1281,84,72,1,69.8913043478261,0.7419354838709677,Colorado St,8.0,73.68695652173913,0.696969696969697,Missouri,9.0,Men
2022,1181,1116,78,69,1,77.0952380952381,0.8235294117647058,Duke,2.0,75.2175,0.7575757575757576,Arkansas,4.0,Men
1993,1308,1304,93,79,1,73.83116883116884,0.7586206896551724,New Mexico St,7.0,78.025,0.6666666666666666,Nebraska,10.0,Men
2024,1104,1158,109,96,1,88.53679653679654,0.65625,Alabama,4.0,76.39835164835165,0.7878787878787878,Col Charleston,13.0,Men
2014,1372,1433,77,75,1,68.4655172413793,0.9354838709677419,SF Austin,12.0,72.42788461538461,0.7647058823529411,VCU,5.0,Men
2013,1257,1181,85,63,1,72.5,0.8529411764705882,Louisville,1.0,75.88518518518518,0.84375,Duke,2.0,Men
1998,1314,1298,88,52,1,79.91666666666667,0.9090909090909091,North Carolina,1.0,68.0625,0.6153846153846154,Navy,16.0,Men
1998,1181,1347,99,63,1,78.83333333333333,0.9,Duke,1.0,71.5625,0.6956521739130435,Radford,16.0,Men
2010,1307,1285,62,57,1,71.72844827586206,0.8787878787878788,New Mexico,3.0,66.39166666666667,0.6896551724137931,Montana,14.0,Men
1999,1181,1197,99,58,1,84.453125,0.9696969696969697,Duke,1.0,73.47222222222223,0.4,Florida A&M,16.0,Men
1987,1231,1181,88,82,1,77.9375,0.8571428571428571,Indiana,1.0,75.0952380952381,0.7241379310344828,Duke,5.0,Men
2015,1214,1264,74,64,1,67.33823529411765,0.48484848484848486,Hampton,16.0,68.93522267206478,0.59375,Manhattan,16.0,Men
1986,1424,1419,74,51,1,78.91532258064515,0.8857142857142857,UNLV,4.0,70.9093567251462,0.6785714285714286,ULM,13.0,Men
2011,1163,1361,74,67,1,70.7991452991453,0.7428571428571429,Connecticut,3.0,67.05,0.9375,San Diego St,2.0,Men
1990,1155,1140,49,47,1,75.53260869565217,0.7419354838709677,Clemson,5.0,68.8422619047619,0.7241379310344828,BYU,12.0,Men
2011,1181,1214,87,45,1,74.75,0.8823529411764706,Duke,1.0,65.05978260869566,0.7419354838709677,Hampton,16.0,Men
2006,1272,1133,80,64,1,74.35,0.9090909090909091,Memphis,1.0,69.9,0.6666666666666666,Bradley,13.0,Men
1987,1314,1335,113,82,1,81.0297619047619,0.9032258064516129,North Carolina,1.0,78.76923076923077,0.5,Penn,16.0,Men
2011,1314,1266,81,63,1,72.87362637362638,0.7878787878787878,North Carolina,2.0,74.96071428571429,0.5882352941176471,Marquette,11.0,Men
1995,1393,1356,96,92,1,80.36111111111111,0.6666666666666666,Syracuse,7.0,75.2784090909091,0.7333333333333333,S Illinois,10.0,Men
2012,1293,1161,58,41,1,71.22222222222223,0.9642857142857143,Murray St,6.0,69.20454545454545,0.6451612903225806,Colorado St,11.0,Men
1997,1314,1143,63,57,1,74.35416666666666,0.8,North Carolina,1.0,74.48214285714286,0.7241379310344828,California,5.0,Men
2001,1314,1343,70,48,1,74.99000000000001,0.8064516129032258,North Carolina,2.0,56.65,0.6,Princeton,15.0,Men
1987,1231,1393,74,73,1,77.9375,0.8571428571428571,Indiana,1.0,78.01333333333334,0.8064516129032258,Syracuse,2.0,Men
2010,1452,1246,73,66,1,72.65740740740742,0.8181818181818182,West Virginia,2.0,71.859375,0.9411764705882353,Kentucky,1.0,Men
2024,1181,1222,54,51,1,78.35416666666666,0.75,Duke,4.0,65.86666666666667,0.8823529411764706,Houston,1.0,Men
2004,1210,1242,79,71,1,77.13043478260869,0.71875,Georgia Tech,3.0,70.775,0.7142857142857143,Kansas,4.0,Men
2013,1241,1254,68,55,1,64.53928571428571,0.5882352941176471,James Madison,16.0,78.52692307692308,0.6060606060606061,LIU Brooklyn,16.0,Men
2015,1455,1242,78,65,1,64.71296296296296,0.8709677419354839,Wichita St,7.0,68.10576923076923,0.7647058823529411,Kansas,2.0,Men
1996,1393,1208,83,81,1,73.60416666666666,0.75,Syracuse,4.0,77.31578947368422,0.6785714285714286,Georgia,8.0,Men
1988,1258,1461,119,115,1,100.375,0.8888888888888888,Loy Marymount,10.0,71.03999999999999,0.8333333333333334,Wyoming,7.0,Men
2005,1211,1457,74,64,1,76.03999999999999,0.8620689655172413,Gonzaga,3.0,63.2125,0.8275862068965517,Winthrop,14.0,Men
2011,1139,1338,71,70,1,70.6010101010101,0.7096774193548387,Butler,8.0,69.88148148148147,0.84375,Pittsburgh,1.0,Men
1992,1326,1163,78,55,1,79.80434782608695,0.8214285714285714,Ohio St,1.0,76.2280701754386,0.6785714285714286,Connecticut,9.0,Men
1998,1434,1199,83,77,1,68.98611111111111,0.6923076923076923,Valparaiso,13.0,69.67873303167421,0.5666666666666667,Florida St,12.0,Men
2015,1314,1217,67,65,1,75.62310606060606,0.6857142857142857,North Carolina,4.0,58.80357142857143,0.7407407407407407,Harvard,13.0,Men
2010,1393,1436,79,56,1,76.98214285714286,0.875,Syracuse,1.0,67.96666666666667,0.7352941176470589,Vermont,16.0,Men
1998,1242,1341,110,52,1,79.13636363636364,0.9166666666666666,Kansas,1.0,70.05555555555556,0.375,Prairie View,16.0,Men
2016,1231,1151,99,74,1,78.42571428571429,0.78125,Indiana,5.0,68.51481481481481,0.84375,Chattanooga,12.0,Men
1997,1390,1448,72,66,1,77.61111111111111,0.72,Stanford,6.0,66.1086956521739,0.7931034482758621,Wake Forest,3.0,Men
2009,1272,1268,89,70,1,69.66666666666666,0.9117647058823529,Memphis,2.0,70.05576923076923,0.6060606060606061,Maryland,10.0,Men
2022,1222,1412,82,68,1,73.24827586206897,0.8529411764705882,Houston,5.0,75.16571428571429,0.78125,UAB,12.0,Men
1997,1246,1428,72,59,1,77.98706896551724,0.8787878787878788,Kentucky,1.0,69.61333333333333,0.8928571428571429,Utah,2.0,Men
1991,1462,1304,89,84,1,80.57142857142858,0.7,Xavier,14.0,82.51648351648352,0.7878787878787878,Nebraska,3.0,Men
2012,1242,1301,60,57,1,72.23148148148148,0.8181818181818182,Kansas,2.0,72.40530303030303,0.6470588235294118,NC State,11.0,Men
2007,1196,1326,84,75,1,75.3,0.8529411764705882,Florida,1.0,73.2,0.9090909090909091,Ohio St,1.0,Men
2017,1458,1437,65,62,1,68.65333333333334,0.7352941176470589,Wisconsin,8.0,72.1021505376344,0.9117647058823529,Villanova,1.0,Men
1992,1269,1200,85,58,1,75.9537037037037,0.8709677419354839,Massachusetts,3.0,70.25,0.6,Fordham,14.0,Men
2011,1266,1462,66,55,1,74.96071428571429,0.5882352941176471,Marquette,11.0,68.04464285714286,0.7741935483870968,Xavier,6.0,Men
1997,1390,1328,80,67,1,77.61111111111111,0.72,Stanford,6.0,72.52368421052631,0.6551724137931034,Oklahoma,11.0,Men
2002,1448,1337,83,74,1,80.80833333333334,0.625,Wake Forest,7.0,78.90178571428572,0.7241379310344828,Pepperdine,10.0,Men
1988,1396,1350,69,47,1,68.13793103448276,0.9666666666666667,Temple,1.0,67.66666666666667,0.8,Richmond,13.0,Men
1998,1181,1329,79,73,1,78.83333333333333,0.9,Duke,1.0,76.27380952380952,0.7777777777777778,Oklahoma St,8.0,Men
2018,1276,1260,69,57,1,71.18518518518519,0.7941176470588235,Michigan,3.0,66.27407407407408,0.84375,Loyola-Chicago,11.0,Men
2001,1153,1140,84,59,1,69.70289855072464,0.71875,Cincinnati,5.0,68.77173913043478,0.7419354838709677,BYU,12.0,Men
2013,1235,1323,76,58,1,78.38636363636364,0.6666666666666666,Iowa St,10.0,66.22222222222223,0.7352941176470589,Notre Dame,7.0,Men
1999,1409,1158,62,53,1,67.29040404040404,0.7096774193548387,Tulsa,9.0,63.91,0.9259259259259259,Col Charleston,8.0,Men
1998,1276,1172,80,61,1,74.21195652173913,0.7419354838709677,Michigan,3.0,68.52777777777779,0.6666666666666666,Davidson,14.0,Men
2016,1314,1195,83,67,1,78.55952380952381,0.8235294117647058,North Carolina,1.0,74.95432692307692,0.5517241379310345,FGCU,16.0,Men
1987,1207,1326,82,79,1,71.27272727272728,0.8461538461538461,Georgetown,1.0,83.41666666666666,0.6,Ohio St,9.0,Men
2004,1393,1140,80,75,1,69.9047619047619,0.75,Syracuse,5.0,68.11513157894737,0.7037037037037037,BYU,12.0,Men
2012,1196,1438,71,45,1,73.59565217391304,0.696969696969697,Florida,7.0,60.45202020202021,0.7096774193548387,Virginia,10.0,Men
2001,1277,1201,81,65,1,70.95833333333334,0.8571428571428571,Michigan St,1.0,79.46666666666667,0.8064516129032258,Fresno St,9.0,Men
2001,1232,1328,70,68,1,71.33181818181818,0.6451612903225806,Indiana St,13.0,68.8974358974359,0.8125,Oklahoma,4.0,Men
